name,id
"Bower's Shrikethrush (Colluricincla boweri)","Colluricincla_boweri"
"Bowers Shrike-thrush (Colluricincla boweri)","Colluricincla_boweri"
"Grey Shrike-thrush (Colluricincla harmonica)","Colluricincla_harmonica"
"Grey Shrikethrush (Colluricincla harmonica)","Colluricincla_harmonica"
"Little Shrike-thrush (Colluricincla megarhyncha)","Colluricincla_megarhyncha"
"Little Shrikethrush (Colluricincla megarhyncha)","Colluricincla_megarhyncha"
"Sandstone Shrike-thrush (Colluricincla woodwardi)","Colluricincla_woodwardi"
"Sandstone Shrikethrush (Colluricincla woodwardi)","Colluricincla_woodwardi"
"White-headed Pigeon (Columba leucomela)","Columba_leucomela"
"Rock Dove (Columba livia)","Columba_livia"
"Rock Pigeon (Columba livia)","Columba_livia"
"Common Pigeon (Columba livia)","Columba_livia"
"Rock Dovei (Columba livia)","Columba_livia"
"Carrier Pigeon (Columba livia)","Columba_livia"
"Domestic Dove (Columba livia)","Columba_livia"
"Domestic Pigeon (Columba livia)","Columba_livia"
"Feral Pigeon (Columba livia)","Columba_livia"
"Feral Pigeon, Rock Pigeon, Rock Dove (Columba livia)","Columba_livia"
"Feral Rock Pigeon (Columba livia)","Columba_livia"
"Haustaube (Columba livia)","Columba_livia"
